NAME,T,E,MMIP,MDAMS,UMIP,UDAMS,S,M,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s021,14,52,321.522784,321.522783,272494806,43000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s069,14,52,227.724805,227.724805,66130702,46000,false,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s068,14,52,224.85149,224.85149,26321926,37000,false,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s057,14,51,242.707658,242.707659,43294699,40000,false,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s056,14,51,340.075307,419.938759,25264760,43000,false,false,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s074,14,51,290.594754,323.826381,36212861,45000,false,false,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s075,14,53,275.680122,275.680123,8541282,43000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s003,14,52,286.926714,322.662491,57361562,41000,false,false,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s002,14,51,321.624897,368.999231,3054868,46000,false,false,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s091,14,53,293.888834,293.888833,2855732,44000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s090,14,51,336.48099,336.480989,69300693,48000,false,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s037,14,51,243.684503,285.702831,14341796,42000,false,false,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s036,14,53,239.793013,273.106693,4752634,40000,false,false,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s040,14,51,239.604738,239.604739,19398167,32000,false,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s041,14,51,323.008466,323.008465,98217595,51000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s100,14,51,264.917945,264.917944,11767730,40000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s009,14,52,296.263108,322.270345,36943116,47000,false,false,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s008,14,52,277.91103,277.91103,27839880,43000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s073,14,51,250.622294,250.622296,15076116,39000,false,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s072,14,52,301.694006,308.837684,70477802,40000,false,false,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s096,14,51,255.594366,255.594365,6257463,42000,false,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s097,14,53,224.379944,224.379942,6353305,44000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s004,14,53,310.880782,310.880783,20545205,35000,true,true,,,
xc7s25 t14 e049 r0.1 R0.5 d10.0 D50.0 s005,14,52,322.887106,356.069379,12104718,38000,false,false,,,
