NAME	T	E	MMIP	Mheft-nf	UMIP	Uheft-nf	S	M
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s074"	6	8	141.843572	141.843573	2668	42000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s075"	6	8	104.265225	104.265226	4182	43000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s003"	6	8	126.663234	126.663233	2289	41000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s002"	6	8	127.198901	127.198901	8652	46000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s091"	6	8	110.175519	110.175519	3698	42000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s090"	6	8	126.501506	126.501506	2328	42000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s037"	6	8	118.669678	118.669678	2819	45000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s036"	6	8	115.663892	115.663892	2125	47000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s040"	6	8	114.731179	114.731179	2042	46000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s041"	6	8	117.176661	117.176661	3716	46000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s100"	6	8	125.310453	125.310452	2771	42000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s009"	6	8	146.591356	146.591356	2501	42000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s008"	6	8	160.021715	160.021715	1681	42000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s073"	6	8	134.747570	134.747570	2997	45000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s072"	6	8	153.332180	153.332180	2925	42000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s096"	6	8	76.524622	76.524622	2223	43000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s097"	6	8	72.577096	72.577096	2941	46000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s004"	6	8	170.691321	170.691322	3717	46000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s005"	6	8	119.892966	119.892966	3621	47000	false	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s079"	6	8	100.629971	100.629972	2470	42000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s078"	6	8	84.617657	84.617658	2313	42000	false	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s030"	6	8	83.428844	83.428843	2389	48000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s031"	6	8	150.785786	150.785787	2790	43000	false	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s047"	6	8	129.951764	129.951764	2336	47000	false	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s046"	6	8	144.187296	144.187296	1673	42000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s064"	6	8	96.984323	96.984323	2528	45000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s065"	6	8	117.086243	117.086244	2367	46000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s013"	6	8	116.653018	116.653017	3042	47000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s012"	6	8	97.342990	97.342989	2117	43000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s081"	6	8	117.727989	117.727989	2027	40000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s080"	6	8	147.612795	147.612795	2587	46000	false	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s027"	6	8	129.286416	129.286416	2555	41000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s026"	6	8	134.269170	134.269170	2398	42000	false	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s019"	6	8	165.732613	165.732613	1875	47000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s018"	6	8	116.844767	116.844766	2728	46000	false	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s050"	6	8	112.127547	112.127547	2622	43000	true	true
"xc7s25 t06 e006 r0.1 R0.5 d10.0 D50.0 s051"	6	8	145.279154	145.279155	2293	42000	false	true
"xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s034"	6	8	76.190508	76.190508	11997	44000	false	true
"xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s035"	6	8	62.905368	62.905368	5613	45000	false	true
"xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s043"	6	8	60.580379	60.580380	4093	42000	false	true
"xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s042"	6	8	78.246091	78.246091	5923	41000	true	true
"xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s098"	6	8	53.937687	53.937687	8889	42000	true	true
"xc7s25 t06 e000 r0.1 R0.5 d10.0 D50.0 s099"	6	8	70.641844	70.641844	7763	47000	false	true
